id,name,description,address,city,area,latitude,longitude,phone,website
fc4303c5-96cc-5e73-9693-2e32c1beb026,Attin Arabian Restaurant,,House 9 Road No,,,23.7960337,90.4079723,,
c9a80b92-b6e5-5101-bc47-88d77ed7a91e,Pizza Inn Banani,,ANZ HUQ ELEVE,,,23.7904278,90.4066402,,
7bbd6b2d-ed06-55c4-b97d-5bb576361ef7,Chokka,,"Block C, House 93 Road No. 6",,,23.7915677,90.4028146,,
0d158e89-0f15-5917-9a6f-77a2ac3c4a1f,Lakeshore Suites,,,,,23.7913191,90.404474,,
344b9bf0-9de6-5181-83e2-e2549284efde,Burgwich TOWN Dhaka,,55 Rd No # 21,,,23.7945726,90.4058699,,
a49e8bfb-87c0-56f3-b131-cd1b9356b32d,New Gold Star Restora,,"House- 33, Road- 17, Block- B, Ba",,,23.7928734,90.4079305,,
03ffa125-9f2f-5b91-8223-0335a5ff78d3,Pizza Hut Banani,,"House no 50, Po",,,23.7913006,90.4017486,,
8edb8704-90a9-5783-bd84-45d69d04b76b,QD's,,House 1 ĺরাড নং ১১,,,23.7911662,90.4016497,,
b2c2bf55-97b5-5e9c-960a-bc7945b1bc26,KFC Banani,,Bulu Ocean Towe,,,23.7935805,90.4053793,,
6321d715-7961-5416-a0ac-16cd233488ad,Tehari Baba,,House 37 Rd 12,,,23.7927787,90.4081802,,
